,d,fx_type,fg_mean,fg_var,time_mean
0,2,sphere,5.331e-06,9.938e-12,57.59
1,2,rastrigin,4.478e-02,4.254e-02,130.335
2,5,sphere,2.985e-02,2.881e-02,160.35
3,5,rastrigin,1.490e+00,9.464e+00,370.2625
4,20,sphere,2.341e+00,1.150e+01,496.21
5,20,rastrigin,1.718e+01,1.165e+03,580.175
