,t,fg
0,0,inf
1,1,280.9538950691026
2,2,215.9246642012546
3,3,204.47062753840817
4,4,197.95534651074232
5,5,191.442935844427
6,6,184.4877479196465
7,7,180.99066158193193
8,8,178.2006493376613
9,9,176.0092409754763
10,10,173.6432523656933
11,11,171.50962242656186
12,12,170.30061573099346
13,13,169.46112771189027
14,14,167.1677650971179
15,15,165.45773263373368
16,16,163.70875360822242
17,17,162.62725713993734
18,18,159.21587138608717
19,19,158.38869488946455
20,20,157.46685453641
21,21,156.3994435535986
22,22,155.44469299151882
23,23,154.35215860245114
24,24,152.22800874218973
25,25,150.80392466574696
26,26,149.12616907429333
27,27,148.24808624228154
28,28,147.4396654218175
29,29,146.4433407882615
30,30,145.42175234722862
31,31,144.39747403601447
32,32,143.51522043938178
33,33,142.3569599026348
34,34,141.47878938225656
35,35,139.24600187524308
36,36,138.10782838771823
37,37,137.3004874897
38,38,136.75213443553616
39,39,136.1042561839577
40,40,135.5457465435289
41,41,134.73393675340253
42,42,133.38187422187215
43,43,132.82639012245028
44,44,132.5617203862376
45,45,132.1824268900179
46,46,131.01839267552432
47,47,130.16926240001615
48,48,129.7851248772197
49,49,129.26657530031065
50,50,128.57223088049525
51,51,127.92037496085115
52,52,127.13414737448984
53,53,126.22860164669159
54,54,125.69238639295725
55,55,125.32504325007014
56,56,124.41911681363479
57,57,124.01216135244965
58,58,123.59640808146149
59,59,122.97541947615515
60,60,122.0388999640604
61,61,121.87654169571806
62,62,121.53756028876386
63,63,120.9242084250607
64,64,120.41112820824277
65,65,119.7282952787689
66,66,119.43858697643907
67,67,119.09746031521881
68,68,118.77306105754134
69,69,118.5967050999663
70,70,118.15024918102623
71,71,117.54256206948014
72,72,116.76644444317937
73,73,116.24796963171319
74,74,115.65005696532774
75,75,115.32808115755631
76,76,114.80416291837028
77,77,114.35093106922768
78,78,113.92790814975788
79,79,113.63589047120635
80,80,113.44131030031964
81,81,113.2139961806584
82,82,112.76754779044559
83,83,112.32022737867966
84,84,112.07665971144063
85,85,111.53923589737427
86,86,110.84646202979494
87,87,110.4697883220634
88,88,110.16121857578828
89,89,109.82570815391963
90,90,109.49688500659424
91,91,109.29518777885498
92,92,109.12303436257751
93,93,108.6102993695501
94,94,108.41693552915494
95,95,108.07267745820015
96,96,107.87289380417431
97,97,107.72018624573757
98,98,107.49105332750142
99,99,106.85419330497594
100,100,106.40435842873349
101,101,106.030813228859
102,102,105.91454898516899
103,103,105.71983021168185
104,104,105.27335734344692
105,105,104.95736550608878
106,106,104.68778439279549
107,107,104.43606176747804
108,108,104.35696677282283
109,109,104.06357401607258
110,110,103.92509683590292
111,111,103.76082260788415
112,112,103.56798394215048
113,113,103.40984564020991
114,114,103.19906099076104
115,115,102.9203649963195
116,116,102.81408180801846
117,117,102.56237663877717
118,118,102.33923367050933
119,119,102.12201983707786
120,120,101.9966276516994
121,121,101.83755499668392
122,122,101.65836254477556
123,123,101.51505885869557
124,124,101.32871746272095
125,125,100.97839585937044
126,126,100.78662424951666
127,127,100.59963863615172
128,128,100.50484920921636
129,129,100.31515243348929
130,130,100.16015572169127
131,131,100.03613087478885
132,132,99.83410898425721
133,133,99.65877466105559
134,134,99.56148366621152
135,135,99.42655600172604
136,136,99.27568720086701
137,137,99.18705128215926
138,138,99.07437837248989
139,139,98.97392553546051
140,140,98.84548109615628
141,141,98.68518971398039
142,142,98.57851359496384
143,143,98.44462765466011
144,144,98.34471435406633
145,145,98.27758428460766
146,146,98.17631328234899
147,147,98.08743282727698
148,148,97.95390724181101
149,149,97.83391396796084
150,150,97.74415944131533
151,151,97.57057656887363
152,152,97.43792772237215
153,153,97.30366931450818
154,154,97.17094577273546
155,155,97.02594501300884
156,156,96.95506822409908
157,157,96.823708677988
158,158,96.70006041719266
159,159,96.54383929957838
160,160,96.3990227449953
161,161,96.30259519631252
162,162,96.20113488345429
163,163,96.12003897246478
164,164,96.05035751766492
165,165,95.97542291284759
166,166,95.86689545467163
167,167,95.81571589393045
168,168,95.74773161686308
169,169,95.670499798824
170,170,95.61041824906196
171,171,95.54626078177478
172,172,95.50054630465243
173,173,95.45131124861855
174,174,95.4009539262432
175,175,95.31499816518462
176,176,95.27542147372462
177,177,95.22141425462264
178,178,95.1675780010759
179,179,95.10807340613955
180,180,95.03794081869707
181,181,94.98975756674929
182,182,94.94594923849921
183,183,94.90788885315831
184,184,94.87697866466603
185,185,94.85257256171937
186,186,94.79313887458258
187,187,94.75783196282063
188,188,94.71595076867442
189,189,94.69242834953042
190,190,94.6738831890425
191,191,94.64077404471334
192,192,94.60896068311726
193,193,94.5777608386051
194,194,94.52601804825521
195,195,94.4935856330806
196,196,94.43285135674486
197,197,94.40248802249118
198,198,94.37024168628469
199,199,94.33726271145314
200,200,94.28826926731003
201,201,94.25716389363608
202,202,94.21150554360456
203,203,94.15258669991545
204,204,94.11582532817856
205,205,94.05924036559819
206,206,94.02677218893055
207,207,93.98562456870275
208,208,93.94315351086047
209,209,93.89600663928437
210,210,93.86498659417079
211,211,93.8299361418288
212,212,93.7918852482565
213,213,93.77256218523512
214,214,93.73806430428657
215,215,93.7148847521619
216,216,93.69171176116208
217,217,93.67198093053042
218,218,93.6508875599525
219,219,93.62738277895772
220,220,93.58745777157519
221,221,93.54623650277857
222,222,93.5027459816849
223,223,93.46052242218204
224,224,93.40699501197982
225,225,93.31338996430247
226,226,93.14887941111516
227,227,93.07552786411625
228,228,93.0404495225392
229,229,93.01036787576737
230,230,92.98973174712332
231,231,92.9306689926139
