,d,fx_type,fg_mean,fg_var,time_mean
0,2,sphere,4.975e-06,7.677e-12,21.4
1,2,rastrigin,4.648e-06,8.986e-12,55.69
2,5,sphere,6.675e-06,4.292e-12,58.85
3,5,rastrigin,1.493e-01,1.262e-01,433.43
4,20,sphere,1.766e-03,1.280e-04,408.08
5,20,rastrigin,3.655e+01,8.728e+02,1000.0
