,t,fg
0,0,inf
1,1,inf
2,2,356.1071953865905
3,3,335.7231714897906
4,4,332.19843899723753
5,5,335.89942695173465
6,6,322.1163267699378
7,7,315.75642925198906
8,8,307.5610740201552
9,9,305.80669396122755
10,10,299.5317996282542
11,11,293.899426936476
12,12,292.0674946179431
13,13,284.84202610396875
14,14,280.8807499223223
15,15,274.64200825699896
16,16,266.7321400275782
17,17,267.8014255119009
18,18,259.83329086357344
19,19,256.36720065149024
20,20,256.7246594018888
21,21,252.26977248023454
22,22,252.05526667004554
23,23,243.47330459772766
24,24,240.6795500760832
25,25,240.68625888359773
26,26,233.2391367926404
27,27,226.4663268106155
28,28,229.14571433657383
29,29,227.06550971253296
30,30,225.60912946951302
31,31,222.86044196416472
32,32,222.51671411016446
33,33,221.51409676697546
34,34,215.89180405156102
35,35,215.94014217299372
36,36,218.75317143556953
37,37,212.19800034530272
38,38,211.77214909337397
39,39,213.66082584299602
40,40,211.5086850183032
41,41,207.54251823464065
42,42,208.3439776046006
43,43,204.65425681597185
44,44,204.37182396656542
45,45,202.52051780731247
46,46,197.48525897452924
47,47,199.04879928204366
48,48,197.29944803925
49,49,197.4394234872238
50,50,198.1118894373216
51,51,200.50246616963773
52,52,197.62659460654265
53,53,194.12285117217158
54,54,192.72667842448146
55,55,192.46499488365743
56,56,190.14798715403273
57,57,190.78367029010565
58,58,187.47546833238547
59,59,185.83699887864975
60,60,185.62299597384074
61,61,189.610446177751
62,62,188.70030363454325
63,63,187.7124107088806
64,64,185.6845803403274
65,65,183.63966647023943
66,66,186.48853659509837
67,67,183.10074654924466
68,68,181.67507956602404
69,69,183.0164939051163
70,70,181.2471959917383
71,71,179.43959064378112
72,72,180.29821337651822
73,73,179.92314254121538
74,74,182.9931937611319
75,75,179.59044696023724
76,76,179.42046468598582
77,77,179.56169717350414
78,78,176.23580342095207
79,79,173.728324845664
80,80,173.78594210438433
81,81,174.7953966001349
82,82,175.39537170818537
83,83,172.78925073026326
84,84,173.0821984015036
85,85,174.23697399482154
86,86,173.8489048114582
87,87,174.38698224804068
88,88,171.65080817257595
89,89,172.1448271706149
90,90,173.9519771515284
91,91,173.72867552170052
92,92,174.03465137760108
93,93,170.62154328836112
94,94,169.36521236727717
95,95,171.13927239739277
96,96,172.38263391529293
97,97,170.81419821416878
98,98,168.07732999430144
99,99,165.70307835114446
100,100,166.62404144534347
101,101,166.56457451798752
102,102,167.7872718939251
103,103,168.1636497543538
104,104,168.80909885025613
105,105,166.35548745645372
106,106,164.03392420673663
107,107,164.86593101477564
108,108,165.19522795043812
109,109,165.19487713641718
110,110,165.02307614417893
111,111,166.30342262196783
112,112,162.85699332939726
113,113,162.36895430156292
114,114,161.48982061454123
115,115,162.42851551688833
116,116,162.36781265222567
117,117,162.25140700131055
118,118,160.02672461476067
119,119,160.58951849778094
120,120,160.18339187469127
121,121,160.79673895079202
122,122,159.04837453476702
123,123,158.484037035784
124,124,159.98146438019378
125,125,159.42045988130755
126,126,159.6913370382101
127,127,162.32342187221357
128,128,161.6325117965943
129,129,161.17943029458374
130,130,160.1385392546421
131,131,157.3266243858335
132,132,156.38143403459864
133,133,157.84670339342162
134,134,159.2790709497384
135,135,159.1950494518443
136,136,159.13353078135958
137,137,160.90105992369521
138,138,159.44023110826544
139,139,157.6616421931545
140,140,156.59982866337614
141,141,158.41441030100236
142,142,159.30402441850276
143,143,157.9095433579853
144,144,158.12076818138846
145,145,159.0057592820763
146,146,156.99501214014447
147,147,157.1375494767293
148,148,158.2359784576632
149,149,158.9017774916186
150,150,158.32034199295808
151,151,156.72611188069376
152,152,157.21817844613892
153,153,155.2415978901013
154,154,155.66519229537934
155,155,154.90993060733604
156,156,156.09684611459033
157,157,157.37478105296537
158,158,155.90122977197151
159,159,155.74390630680793
160,160,154.82292911190942
161,161,154.26167245501435
162,162,154.3650428366564
163,163,153.9394130858068
164,164,153.93479002615052
165,165,152.39703115746784
166,166,151.64154545735187
167,167,152.8476803360946
168,168,152.94503415176916
169,169,153.36020661266318
170,170,153.31516658845928
171,171,152.4322168838754
172,172,153.7715045192287
173,173,154.31559378391367
174,174,151.39626249313739
175,175,152.24677316829099
176,176,151.09731620284876
177,177,152.0543338535678
178,178,150.99223771612444
179,179,151.05948502595942
