,d,fx_type,fg_mean,fg_var,time_mean
0,2,sphere,4.856e-06,7.524e-12,22.08
1,2,rastrigin,4.762e-06,7.645e-12,39.19
2,5,sphere,5.470e-06,7.309e-12,46.03333333333333
3,5,rastrigin,4.478e-02,4.254e-02,148.1425
4,20,sphere,3.627e-02,3.434e-02,199.664
5,20,rastrigin,6.066e+00,3.396e+02,333.05333333333334
